Sales Value(000 RMB),宝贝名称,,Sales Value(000 RMB),宝贝名称,,Sales Value(000 RMB),宝贝名称,,Sales Value(000 RMB),宝贝名称,,Sales Value(000 RMB),宝贝名称,
指定品牌 Top10宝贝,宝贝名称,FY2023,指定品牌 Top10宝贝,宝贝名称,FY2023,指定品牌 Top10宝贝,宝贝名称,FY2023,指定品牌 Top10宝贝,宝贝名称,FY2023,指定品牌 Top10宝贝,宝贝名称,FY2023
洗发水,,,洗发水,,,洗发水,,,洗发水,,,洗发水,,
723662256479,【李佳琦直播间】卡诗元气姜粉瓶洗发水控油蓬松*,6755590294,738435444704,【李佳琦直播间】潘婷深水泡弹洗发水洗发露蓬松柔顺洗头膏官方,5647002150,624015491253,【双11现货速抢】欧莱雅玻尿酸洗发水护发素洗护套装控油蓬松去油,3885498047,526415737630,海飞丝洗发水/露去屑止痒清爽控油蓬松洗头膏去油/旗舰店任选,8982257983,100033608300,清扬（CLEAR）男士去屑洗发水清爽控油型500g+100gX2 青柠薄荷醇 洗头膏C罗,4593326263
637960086301,【双11现货速抢】卡诗元气姜粉瓶生姜洗发水无硅油洗护发控油蓬松,6728704389,696754639158,【双11抢购】潘婷氨基酸洗发水露液洗头膏护发素去屑改善毛躁官方,2097655557,737119524351,【李佳琦直播间】欧莱雅玻尿酸洗发水护发素洗护套装控油蓬松*,2296017900,3759085,海飞丝洗发水套装清爽去油700g*2 送200g 持久去屑洗发水去油洗发水控油,7942054187,611491334936,清扬男士去屑清爽控油头皮护理青柠薄荷醇洗发水(500X3+200)G,3870653028
691885981904,【李佳琦直播间】卡诗元气姜粉瓶洗发水洗护发控油蓬松*,5327001071,696175658994,【双11现货抢】潘婷深水泡弹洗发水洗发露洗头膏无硅油蓬松官方,1931695887,623732910111,【双11抢先加购】欧莱雅洗发水护发素蓬松去油强韧去头屑柔顺顺滑,2274566177,3580435687507393660,【控油去屑】海飞丝洗发水柠檬清爽去油蓬松洗头膏露正品推荐gfzx,6456012173,39451855306,清扬男士专用洗发水去屑控油止痒运动清爽洗头膏官方旗舰店多香型,2770860488
693785505539,【李佳琦直播间】卡诗赋活洗发水双支装蓬松丰盈*,5272972000,698304143257,【李佳琦直播间】潘婷深水泡弹洗发水露改善毛躁柔顺,1847715775,714365937000,【李佳琦直播间】欧莱雅玻尿酸洗发水护发素洗护套装女控油蓬松*,2058193805,4702894,海飞丝洗发水清爽去油洗发水控油1KG(持久去屑清爽柔润) 柠檬香 洗发膏,6419512495,590159521398,清扬去屑清樱花露水润净屑留香樱花头皮洗发水500g*3+200g,2629796025
569850347787,【双11现货速抢】卡诗白金赋活洗发露蓬松洗发水去油无硅油氨基酸,4276080139,100008210304,潘婷洗发水氨基酸丝质顺滑洗发水1KG柔顺光泽抚平毛躁防干枯洗发膏,1640446207,653934086868,[618狂欢购]欧莱雅美发茶树植萃去头屑控油男女洗发水露留香套装,1407359381,4214248,海飞丝洗发水套装丝质柔滑700g*2 送200g 持久去屑去油洗发水控油,5466771765,100004742016,清扬（CLEAR）去屑洗发水清爽控油型900g 净爽净屑头皮护理青柠薄荷醇C罗洗头膏,2501012027
703938583256,【李佳琦直播间】卡诗白金赋活洗发水蓬松丰盈去油氨基酸*,3551388000,698303003118,【李佳琦直播间】潘婷深水泡弹洗发水去油蓬松柔顺强韧发根补水,1612732168,3570115604620928010,【油扁塌救星】欧莱雅玻尿酸控油去油蓬松丰盈洗发水护发素套装,1399042887,524011612556,海飞丝洗发水露丝质柔顺控油蓬松/去屑止痒洗发膏500g*3,4003044981,3590490942894952849,【家庭装】清扬去屑止痒控油蓬松柔顺洗发水洗头推荐男女通用WY,2490771616
625170263709,【双11现货速抢】卡诗海源黑钻洗发露柔顺护发留香滋润清洁洗发水,3511887400,44581637995,潘婷氨基酸洗发水露液洗头膏套装蓬松修护干枯发质滋润毛躁护发,1524111762,641398357863,【双11立抢】欧莱雅生姜洗发水护发素套装强韧发根控油去油无硅油,1328244571,545134782610,海飞丝去屑清爽柠檬去油洗发水洗发露1kg实惠装蓬松止痒男女士,3721759463,577227033337,清扬男士去屑活力运动即刻止痒冰感舒爽薄荷洗发水500g*3+200g,2483925750
709541427031,【李佳琦直播间】卡诗白金赋活洗发水蓬松丰盈氨基酸*,3405500900,3548797079038117477,【去屑滋润】潘婷顺滑洗发水推荐套装三分钟奇迹护发素滋养润发3D,1399271311,622248006790,欧莱雅精油润养/多效修复洗发水露套装柔顺润养修护干枯男女官方,1290000358,4702896,海飞丝洗发水丝质柔滑型1KG去屑清洁清爽柔润清香去油洗发水控油 洗发膏,3650042848,3581230853642170829,【控油去屑】清扬洗发水清爽止痒蓬松洗头男士专业洗发水2000g WY1,2347011680
100030868944,卡诗头皮系列新双重功能洗发水500ML无硅油净油蓬松,3361872180,5849029,潘婷氨基酸无硅油洗发水微米净透排浊赋能530g 清爽控油去油 强韧蓬松,1335547994,100008902009,欧莱雅玻尿酸水光盈润洗发水深层去油蓬松清爽控油无硅油女洗发露440ml,1266550423,544044142445,海飞丝洗发水洗发露丝质柔滑500g×2+80g×1致美水润去屑控油蓬松,3539282778,3628759651140693526,【家庭爆款】清扬去屑止痒控油蓬松柔顺洗发水推荐1425g WY,1857038034
700135557405,【重磅新品】卡诗自在瓶洗发水去屑深层清洁水润清爽维稳洗发露,3296275299,695933392007,【双11现货抢】潘婷氨基酸洗发水露液蓬松去屑洗头膏护发素官方,1302359719,634499042021,【双11顺丰速达】欧莱雅玻尿酸洗发水护发素控油蓬松去油洗护套装,1255650340,601545613610,海飞丝洗发水套装清爽去油500g×2瓶+80g×1瓶去屑止痒男女,3443507333,1345469,清扬（CLEAR）【回购券】清扬男士头皮劲活专研去屑洗发水100g*1 香型款式随机,1832333619
套装,,,套装,,,套装,,,套装,,,套装,,
673965663655,【u先体验】卡诗洁护韵秀发奢享礼,2536054450,1709997,潘婷氨基酸洗发水乳液修护洗500g+护500g+护40ml洗发水男女通用套装,5113770247,624015491253,【双11现货速抢】欧莱雅玻尿酸洗发水护发素洗护套装控油蓬松去油,2891001776,656547082681,海飞丝洗发水专研去屑洗发露止痒控油洗头膏/头皮护理润发乳任选,266349349,3602897119356319395,【洗+沐】洗发水沐浴露清扬控油蓬松去屑止痒柠檬味古龙香2100g WY1,240250293
3617799905520834631,【官方正品】卡诗全明星黑钻柔顺洗发水发膜护发精油洗护套装,2239574766,601941287347,潘婷洗发水丝质顺滑500g*2+3分钟护发素40ml修护干枯发改善毛躁,4531923856,737133536178,【李佳琦直播间】欧莱雅生姜洗发水护发素洗护套装强韧发根男女*,2530718300,623649917518,海飞丝洗发水专研去屑止痒洗发露控油洗头膏/头皮护理润发乳任选,153097375,674617967163,清扬去屑清樱花露水润净屑留香头皮护理洗护套装500Gx2+180G,236066938
621977794625,【双11现货速抢】卡诗海源黑钻洗护套装洗发水发膜防毛躁柔顺清洁,1205361810,3548797188425538690,潘婷乳液修护洗发水护发素套装 改善毛躁 柔顺蓬松男士女士-3D,3852392198,100008902015,欧莱雅玻尿酸洗发水护发素控油蓬松清爽无硅油洗护套装 洗440ml+护440ml,2365503466,10044087240831,海飞丝 专研去屑洗发露 500g*2 头皮控油排浊型 去屑清洁止痒清爽柔润男士女士通用新旧包装随机发,95492870,680714180128,清扬洗发水沐浴露二合一套装男士专用洗头膏露液控油正品牌官方店,196679874
3607962939883145906,【官方正品】卡诗全明星黑钻修护柔顺洗发水发膜护发精油洗护套装,1193034253,100005458228,潘婷洗发水氨基酸丝质顺滑洗护套装洗500g*2 +护70ml 男女通用,3232022066,4402458,欧莱雅精油润养洗发水护发素洗护套装柔顺顺滑(洗500ml*2+护500ml),2144388301,31931774481,海飞丝洗发水+沐浴露套装 男士女士通用洗发水沐浴露套装去屑止痒控油家庭装洗发水 清爽去油型洗发水500ml+柠檬沐浴露950ml,43417665,643313700340,清扬洗发水沐浴露二合一套装男士专用去屑止痒控油头膏正品牌官方,183873484
100017413757,卡诗黑钻钥源套装奢护礼盒装(发膜精油洗发水）护发柔顺防毛躁,771848344,652406855464,潘婷洗发露氨基酸洗发水女洗头膏护发素洗护套装柔顺去屑蓬松修护,2702763531,641398357863,欧莱雅生姜洗发水护发素强韧发根控油去油蓬松无硅油男女洗护套装,1762884339,3597922363880167612,【衣哥专属】海飞丝男士洗发水 去屑控油 清新止痒 清洁头皮,34013340,711240915590,清扬洗发水露液清爽控油蓬松头皮舒缓止痒去屑去油清洁洗头膏正品,181899425
660139203107,【u先体验】卡诗洁护韵头皮奢享礼,763629520,100024910094,潘婷洗发水氨基酸乳液修护防干燥洗护套装洗500g+护500g+洗80g 洗发露,2701494796,714365937000,【李佳琦直播间】欧莱雅玻尿酸洗发水护发素洗护套装女控油蓬松*,1466380313,613900865047,海飞丝去屑头皮护理乳柔顺修护滋养干枯毛躁非发膜正品任选,31856113,681895502642,8X清扬男士防脱去屑强韧持证控油毛囊清洁洗发水精华液官方正品,148766304
655646524161,【店播尊享】卡诗元气姜精华防脱固发元气姜粉瓶洗发套组,715151940,548195522780,潘婷洗护套装乳液修护500g洗+500g护+3分钟护发素40ml拯救干枯发,1180364954,737119524351,【李佳琦直播间】欧莱雅玻尿酸洗发水护发素洗护套装控油蓬松*,1436486700,710102989209,海飞丝专研头皮精华100ml+海飞丝专研洗发水300g,24790425,730338094762,清扬洗发水男士专用控油去屑止痒蓬松洗头膏沐浴露官方正品旗舰店,136277940
3607963457409918758,【官方正品】卡诗黑钻钥源洗发水干枯柔顺清爽滋养留香洗发露,546138000,100034127418,潘婷氨基酸洗发水丝质顺滑洗500g+护500g+洗80g女士男女通用套装,1094057105,684207920672,欧莱雅玻尿酸洗发水护发素洗护套装控油蓬松*,1436429800,695025023935,海飞丝去屑洗发水控油蓬松头发清爽水润头皮护理补水型清洁洗发露,18179343,100007801747,清扬（CLEAR）男士头皮劲能瓶专研5倍冰爽型洗发水570g*2+洗头100g+沐浴露100g,126600304
3607964035938679460,【官方正品】卡诗黑钻钥源洗护套装洗发水发膜防毛躁柔顺清洁留香,438586000,44581637995,【618狂欢购】潘婷氨基酸洗发水露洗头膏套装蓬松修护干枯滋润,1013076808,618767291605,欧莱雅大金瓶洗发水护发素洗护套装女柔顺顺滑无硅油洗头水洗发露,1335930927,100023495457,海飞丝去屑止痒洗发水300g+护发素200g送80g*2油性头皮 蓬松控油 无硅油,17067109,100007801735,清扬（CLEAR）男士专研去屑头皮护理3倍净屑洗发水570g*2送洗发100g+沐浴露100g,115351905
634844108682,【双11现货速抢】卡诗元气姜粉瓶洗发水护发素防脱头皮精华套装,329114608,3519767794231157045,潘婷氨基酸乳液修护防干燥洗护套装TJ,1002531230,3570115604620928010,【双11现货】欧莱雅玻尿酸控油去油蓬松丰盈洗发水护发素套装,1204601320,651544722565,海飞丝洗发水沐浴露套装二合一男女去屑控油止痒正品旗舰店官方牌,16495155,3628759651140693526,【双12专场】清扬去屑止痒控油蓬松水润清爽柔顺洗发水推荐1425g WY,97189047
